POS,PLAYER,Mat,Inns,Runs,HS,Avg,BF,SR,100,50,4s,Ov,Wkts,BBI,Avg,Econ,SR,4w,5w
,david Warner,135,135,5037,126,43.05,"3,571",141.05,4,46,485,,,,,,,,
,AB de Villiers,164,151,4680,133*,40.69 ,"3,056",153.14,3,37,378,,,,,,,,
,MS Dhoni,200,179,4596,84*,41.40 ,"3,346",137.35,0,23,308,,,,,,,,
,Chris Gayle,128,127,4590,175*,40.98,"3,048",150.59,6,29,374,,,,,,,,
,robin Uthappa,185,178,4539,87,28.19,"3,495",129.87,0,24,449,,,,,,,,
,Goutam gambhir,154,152,4217,93,31.23,"3,404",123.88,0,36,491,,,,,,,,
,shane Watson,144,140,3860,117*,31.12,"2,790",138.35,4,21,375,,,,,,,,
,ajinkya Rahane,143,135,3845,105*,32.31,"3,167",121.40 ,2,27,408,,,,,,,,
,dinesh Karthik,192,172,3795,97*,26.53,"2,916",130.14,0,19,374,,,,,,,,
,Ambati Rayudu,155,147,3550,100*,29.33,"2,822",125.79,1,19,298,,,,,,,,
,yusuf pathan,174,154,3204,100,29.12,"2,241",142.97,1,13,262,,,,,,,,
,manish Pandey,139,129,3055,114*,28.82,"2,525",120.99,1,17,271,,,,,,,,
,Kieron Pollard,157,142,2963,83,30.54,"1,981",149.57,0,15,191,,,,,,,,
,brendon mccullum,109,109,2880,158*,27.69 ,"2,186",131.74,2,13,293,,,,,,,,
,parthiv patel,139,137,2848,81,22.60 ,"2,358",120.78,0,13,365,,,,,,,,
,yuvraj singh,132,126,2750,83,24.77,"2,120",129.71,0,13,217,,,,,,,,
,virender sehwag,104,104,2728,122,27.55,"1,755",155.44,2,16,334,,,,,,,,
,murali Vijay,106,106,2619,127,25.93,"2,149",121.87,2,13,247,,,,,,,,
,klRahul,77,68,2517,132*,45.76,"1,829",137.61,2,21,222,,,,,,,,
,shaun marsh,71,69,2477,115,39.95,"1,866",132.74,1,20,266,,,,,,,,
,Sanju Samson,103,99,2445,102*,27.16,"1,846",132.44,2,12,180,,,,,,,,
,jacques kallis,98,96,2427,89*,28.55,"2,222",109.22,0,17,255,,,,,,,,
,dwayne smith,91,89,2385,87*,28.39,"1,764",135.20 ,0,17,245,,,,,,,,
,sachin tendulkar,78,78,2334,100*,34.83 ,"1,948",119.81,1,13,295,,,,,,,,
,Steve Smith,91,82,2268,101,36,"1,758",129.01,1,11,203,,,,,,,,
,faf du Plessis,81,74,2228,96,33.25,"1,727",129.00 ,0,16,199,,,,,,,,
,rahul dravid,89,82,2174,75*,28.23,"1,882",115.51,0,11,269,,,,,,,,
,Ravindra Jadeja,180,137,2121,50,25.25,"1,690",125.50 ,0,1,154,,,,,,,,
,Adam Zampa,80,80,2069,109*,27.22,"1,495",138.39,2,11,239,,,,,,,,
,jp duminy,83,77,2029,78*,39.78 ,1.636,124.02,0,14,126,,,,,,,,
,Shreyas Iyer,72,72,2016,96,31.50 ,"1,579",127.67,0,15,173,,,,,,,,
,michael hussey,59,58,1977,116*,38.76,"1,612",122.64,1,15,198,,,,,,,,
,Aaron Finch,85,82,1942,88*,25.89,"1,508",128.77,0,14,196,,,,,,,,
,rishabh Pant,61,61,1926,128*,35.66,"1,219",157.99,1,11,171,,,,,,,,
,david miller,80,78,1850,101*,33.63,"1,333",138.78,1,9,126,,,,,,,,
,mahela jayawardene,80,78,1802,110*,28.60 ,"1,462",123.25,1,10,200,,,,,,,,
,wriddhiman Saha,121,96,1795,115*,23.93,"1,377",130.35,1,6,161,,,,,,,,
,suryakumar Yadav,94,80,1791,79*,28.42,"1,337",133.95,0,9,195,,,,,,,,
